"year";"orgnr";"var";"denominator";"ind_id"
2018;974632535;220;257;"hoftebrudd_dekgrad_prim_brudd"
2008;974633159;34;46;"hoftebrudd_dekgrad_prim_brudd"
2009;974633159;39;41;"hoftebrudd_dekgrad_prim_brudd"
2010;974633159;42;43;"hoftebrudd_dekgrad_prim_brudd"
2011;974633159;44;47;"hoftebrudd_dekgrad_prim_brudd"
2012;974633159;54;55;"hoftebrudd_dekgrad_prim_brudd"
2013;974633159;36;40;"hoftebrudd_dekgrad_prim_brudd"
2014;974633159;64;67;"hoftebrudd_dekgrad_prim_brudd"
2015;974633159;98;103;"hoftebrudd_dekgrad_prim_brudd"
2016;974633159;99;99;"hoftebrudd_dekgrad_prim_brudd"
2017;974633159;90;98;"hoftebrudd_dekgrad_prim_brudd"
2018;974633159;87;89;"hoftebrudd_dekgrad_prim_brudd"
2008;974633191;264;319;"hoftebrudd_dekgrad_prim_brudd"
2009;974633191;267;301;"hoftebrudd_dekgrad_prim_brudd"
2010;974633191;304;314;"hoftebrudd_dekgrad_prim_brudd"
2011;974633191;307;322;"hoftebrudd_dekgrad_prim_brudd"
2012;974633191;286;307;"hoftebrudd_dekgrad_prim_brudd"
2013;974633191;232;246;"hoftebrudd_dekgrad_prim_brudd"
2014;974633191;236;258;"hoftebrudd_dekgrad_prim_brudd"
2015;974633191;235;261;"hoftebrudd_dekgrad_prim_brudd"
2016;974633191;253;253;"hoftebrudd_dekgrad_prim_brudd"
2017;974633191;265;275;"hoftebrudd_dekgrad_prim_brudd"
2018;974633191;236;250;"hoftebrudd_dekgrad_prim_brudd"
2015;974633558;1;1;"hoftebrudd_dekgrad_prim_brudd"
2018;974633558;2;2;"hoftebrudd_dekgrad_prim_brudd"
2015;974633574;416;426;"hoftebrudd_dekgrad_prim_brudd"
2016;974633574;426;441;"hoftebrudd_dekgrad_prim_brudd"
2017;974633574;448;475;"hoftebrudd_dekgrad_prim_brudd"
2018;974633574;476;497;"hoftebrudd_dekgrad_prim_brudd"
2015;974633698;1;1;"hoftebrudd_dekgrad_prim_brudd"
2016;974633698;6;6;"hoftebrudd_dekgrad_prim_brudd"
2017;974633698;18;19;"hoftebrudd_dekgrad_prim_brudd"
2018;974633698;18;19;"hoftebrudd_dekgrad_prim_brudd"
2015;974633752;573;602;"hoftebrudd_dekgrad_prim_brudd"
2016;974633752;538;539;"hoftebrudd_dekgrad_prim_brudd"
2017;974633752;553;589;"hoftebrudd_dekgrad_prim_brudd"
2018;974633752;568;583;"hoftebrudd_dekgrad_prim_brudd"
2008;974703300;441;443;"hoftebrudd_dekgrad_prim_brudd"
2009;974703300;456;463;"hoftebrudd_dekgrad_prim_brudd"
2010;974703300;481;489;"hoftebrudd_dekgrad_prim_brudd"
2011;974703300;443;453;"hoftebrudd_dekgrad_prim_brudd"
2012;974703300;499;505;"hoftebrudd_dekgrad_prim_brudd"
2013;974703300;451;477;"hoftebrudd_dekgrad_prim_brudd"
