"year";"orgnr";"var";"ind_id";"denominator"
2020;974743272;0;"nger_kompl_intra_hys";11
2020;974737779;1;"nger_kompl_intra_hys";55
2020;975787419;1;"nger_kompl_intra_hys";20
2020;974749025;1;"nger_kompl_intra_hys";217
2020;974633752;4;"nger_kompl_intra_hys";81
2020;974706490;0;"nger_kompl_intra_hys";75
2020;974595214;0;"nger_kompl_intra_hys";1
2020;974631768;6;"nger_kompl_intra_hys";37
2020;974632535;2;"nger_kompl_intra_hys";61
2020;974633574;4;"nger_kompl_intra_hys";177
2020;874632562;2;"nger_kompl_intra_hys";37
2020;974633221;2;"nger_kompl_intra_hys";66
2020;974631776;0;"nger_kompl_intra_hys";3
2020;974795787;0;"nger_kompl_intra_hys";24
2020;974589095;5;"nger_kompl_intra_hys";186
2020;974795515;0;"nger_kompl_intra_hys";8
2020;974724774;1;"nger_kompl_intra_hys";50
2020;974742985;0;"nger_kompl_intra_hys";42
2020;974795639;0;"nger_kompl_intra_hys";28
2020;974795396;0;"nger_kompl_intra_hys";4
2020;974795361;2;"nger_kompl_intra_hys";37
2016;974733013;3;"nger_kompl_postop_lap";44
2016;974795930;5;"nger_kompl_postop_lap";32
2016;974747138;3;"nger_kompl_postop_lap";38
2016;974747545;1;"nger_kompl_postop_lap";18
2016;974557746;14;"nger_kompl_postop_lap";189
2016;974795477;9;"nger_kompl_postop_lap";51
2016;974745569;3;"nger_kompl_postop_lap";32
2016;974631326;9;"nger_kompl_postop_lap";136
2016;974631091;3;"nger_kompl_postop_lap";25
2016;974744570;0;"nger_kompl_postop_lap";8
2016;974703300;8;"nger_kompl_postop_lap";82
2016;974743272;2;"nger_kompl_postop_lap";19
2016;974749025;1;"nger_kompl_postop_lap";46
2016;974633752;5;"nger_kompl_postop_lap";63
2016;974706490;7;"nger_kompl_postop_lap";85
2016;974631776;2;"nger_kompl_postop_lap";12
2016;974631768;1;"nger_kompl_postop_lap";7
2016;974632535;19;"nger_kompl_postop_lap";141
2016;974633574;37;"nger_kompl_postop_lap";325
2016;974633221;12;"nger_kompl_postop_lap";135
2016;974795787;4;"nger_kompl_postop_lap";41
2016;974589095;40;"nger_kompl_postop_lap";551
2016;974707152;6;"nger_kompl_postop_lap";68
2016;974795515;5;"nger_kompl_postop_lap";34
2016;974724774;11;"nger_kompl_postop_lap";112
2016;974795361;10;"nger_kompl_postop_lap";103
2017;974733013;3;"nger_kompl_postop_lap";53
2017;974795930;2;"nger_kompl_postop_lap";28
2017;974795833;1;"nger_kompl_postop_lap";23
2017;974747138;7;"nger_kompl_postop_lap";49
2017;974747545;0;"nger_kompl_postop_lap";7
2017;974557746;17;"nger_kompl_postop_lap";177
2017;974795477;4;"nger_kompl_postop_lap";46
2017;974745569;6;"nger_kompl_postop_lap";29
2017;974631326;12;"nger_kompl_postop_lap";196
2017;974631091;8;"nger_kompl_postop_lap";63
2017;974705788;8;"nger_kompl_postop_lap";88
2017;974744570;0;"nger_kompl_postop_lap";15
2017;974703300;8;"nger_kompl_postop_lap";165
2017;974743272;2;"nger_kompl_postop_lap";26
2017;974737779;4;"nger_kompl_postop_lap";67
2017;974749025;3;"nger_kompl_postop_lap";85
2017;974633752;8;"nger_kompl_postop_lap";46
2017;974706490;33;"nger_kompl_postop_lap";305
2017;974595214;2;"nger_kompl_postop_lap";24
2017;974631776;4;"nger_kompl_postop_lap";60
2017;974631768;1;"nger_kompl_postop_lap";55
2017;974632535;19;"nger_kompl_postop_lap";135
2017;974633574;31;"nger_kompl_postop_lap";309
2017;874632562;6;"nger_kompl_postop_lap";103
2017;974633221;8;"nger_kompl_postop_lap";148
2017;974795787;5;"nger_kompl_postop_lap";42
2017;974589095;33;"nger_kompl_postop_lap";668
2017;974707152;14;"nger_kompl_postop_lap";96
2017;974795515;4;"nger_kompl_postop_lap";31
2017;974724774;13;"nger_kompl_postop_lap";107
2017;974795361;9;"nger_kompl_postop_lap";68
2018;974733013;4;"nger_kompl_postop_lap";98
2018;974795930;3;"nger_kompl_postop_lap";23
2018;974795833;3;"nger_kompl_postop_lap";21
2018;974747138;4;"nger_kompl_postop_lap";39
2018;974747545;2;"nger_kompl_postop_lap";12
2018;974557746;9;"nger_kompl_postop_lap";180
2018;974795477;4;"nger_kompl_postop_lap";48
2018;974745569;5;"nger_kompl_postop_lap";15
2018;974631326;19;"nger_kompl_postop_lap";166
2018;974631407;5;"nger_kompl_postop_lap";47
2018;974631091;7;"nger_kompl_postop_lap";76
2018;974631385;1;"nger_kompl_postop_lap";3
2018;974705788;10;"nger_kompl_postop_lap";116
2018;974744570;0;"nger_kompl_postop_lap";13
2018;974703300;7;"nger_kompl_postop_lap";136
2018;974743272;2;"nger_kompl_postop_lap";23
2018;974737779;4;"nger_kompl_postop_lap";69
2018;974749025;3;"nger_kompl_postop_lap";82
2018;974633752;6;"nger_kompl_postop_lap";50
2018;974706490;25;"nger_kompl_postop_lap";310
2018;974595214;2;"nger_kompl_postop_lap";25
2018;974631776;4;"nger_kompl_postop_lap";36
2018;974631768;3;"nger_kompl_postop_lap";57
2018;974632535;10;"nger_kompl_postop_lap";144
2018;974633574;35;"nger_kompl_postop_lap";286
2018;874632562;5;"nger_kompl_postop_lap";29
2018;974633221;7;"nger_kompl_postop_lap";101
2018;974795787;1;"nger_kompl_postop_lap";32
2018;974589095;41;"nger_kompl_postop_lap";687
2018;974707152;12;"nger_kompl_postop_lap";76
2018;974795515;1;"nger_kompl_postop_lap";31
2018;974724774;14;"nger_kompl_postop_lap";123
2018;974795361;12;"nger_kompl_postop_lap";93
2019;974733013;5;"nger_kompl_postop_lap";91
2019;974795574;1;"nger_kompl_postop_lap";4
2019;974795930;2;"nger_kompl_postop_lap";30
2019;974795833;2;"nger_kompl_postop_lap";43
2019;974747138;2;"nger_kompl_postop_lap";41
2019;974747545;0;"nger_kompl_postop_lap";10
2019;974557746;23;"nger_kompl_postop_lap";255
2019;974795477;7;"nger_kompl_postop_lap";51
