"orgnr";"year";"ind_id";"var";"denominator"
975787419;2018;"korsband_preop_ant";59;59
975787419;2019;"korsband_preop_ant";35;35
980693732;2015;"korsband_preop_ant";30;30
980693732;2016;"korsband_preop_ant";22;22
980693732;2017;"korsband_preop_ant";33;33
980693732;2018;"korsband_preop_ant";32;32
980693732;2019;"korsband_preop_ant";19;19
981096363;2018;"korsband_preop_ant";1;1
983084478;2019;"korsband_preop_ant";14;14
990240116;2017;"korsband_preop_ant";1;1
991835083;2016;"korsband_preop_ant";4;4
991835083;2017;"korsband_preop_ant";8;8
991835083;2018;"korsband_preop_ant";1;1
991835083;2019;"korsband_preop_ant";7;7
993240184;2015;"korsband_preop_ant";31;31
993240184;2016;"korsband_preop_ant";40;40
993240184;2017;"korsband_preop_ant";42;42
993240184;2018;"korsband_preop_ant";24;24
993240184;2019;"korsband_preop_ant";3;3
994679627;2015;"korsband_preop_ant";113;113
994679627;2016;"korsband_preop_ant";134;134
994679627;2017;"korsband_preop_ant";112;113
994679627;2018;"korsband_preop_ant";148;149
994679627;2019;"korsband_preop_ant";166;166
995818728;2018;"korsband_preop_ant";16;16
995818728;2019;"korsband_preop_ant";6;6
999238351;2015;"korsband_preop_ant";29;29
999238351;2016;"korsband_preop_ant";28;28
999238351;2017;"korsband_preop_ant";43;43
999238351;2018;"korsband_preop_ant";17;18
